address,best,bin,building_id,building_name,distance_m,district,footprint_area,footprint_verts,height_source,is_context,lat,lod_tier,lon,min_height,osm_building_type,osm_id,osm_levels,osm_type,postcode,roof_height,second,x_m,y_m
,0.811,1048535,25513,,7.0,Upper East Side,104.9,4,tag,0,40.7746613,block,-73.9544037,0.0,yes,266909385,,way,,14.0,0.793,1146.08,-590.33
1566 2nd Avenue,0.78,1049868,25517,,16.4,Upper East Side,143.0,8,tag,0,40.7747737,block,-73.9536732,0.0,yes,266909572,,way,10028,24.6,0.76,1207.66,-577.89
1572 2nd Avenue,0.912,1049868,25521,,6.9,Upper East Side,148.4,8,tag,0,40.7749546,block,-73.9535332,0.0,yes,266909584,,way,10028,15.4,0.886,1219.47,-557.89
1588 2nd Avenue,0.854,1049873,25528,,5.7,Upper East Side,162.9,5,tag,0,40.7753828,block,-73.9532054,0.0,yes,266909605,,way,10028,14.6,0.839,1247.1,-510.54
325 East 82nd Street,0.988,1049878,25561,,0.9,Upper East Side,90.0,4,tag,0,40.7749978,block,-73.9524631,0.0,apartments,266909730,,way,10028,13.3,0.93,1309.67,-553.12
327 East 82nd Street,0.989,1049915,25563,,0.9,Upper East Side,92.0,4,tag,0,40.7749742,block,-73.9524071,0.0,apartments,266909741,,way,10028,13.1,0.937,1314.39,-555.73
335 East 82nd Street,0.721,1049879,25573,,16.9,Upper East Side,77.5,4,tag,0,40.7748723,block,-73.952186,0.0,yes,266909771,,way,10028,13.2,0.714,1333.03,-566.98
,0.713,1049838,25592,,17.1,Upper East Side,192.9,5,tag,0,40.7746408,block,-73.9537474,0.0,yes,266909806,,way,,14.1,0.685,1201.41,-592.59
1591 2nd Avenue,0.686,1048658,25605,,15.2,Upper East Side,252.3,4,tag,0,40.77577,block,-73.9536901,0.0,yes,266910029,,way,10028,15.3,0.677,1206.24,-467.72
201B East 82nd Street,0.989,1048683,25606,,0.9,Upper East Side,82.8,5,tag,0,40.776204,block,-73.9553714,0.0,yes,266910032,,way,10028,14.5,0.929,1064.52,-419.74
348 East 84th Street,0.931,1049933,25703,,5.6,Upper East Side,76.4,4,tag,0,40.7756702,block,-73.9509945,0.0,yes,266910270,,way,10028,12.9,0.888,1433.46,-478.76
