address,bbl,bbl_source,bin,building_id,building_name,district,footprint_area,footprint_verts,height_source,is_context,lat,lod_tier,lon,match_area_ratio,match_confidence,match_distance_m,min_height,osm_building_type,osm_id,osm_levels,osm_type,postcode,roof_height,x_m,y_m
,,,,19860,Lackawanna Caboose,Midtown West / Times Sq,27.3,4,zone_model,0,40.7522623,block,-74.0092605,,none,,0.0,yes,905435935,,way,,14.6,-3478.01,-3067.07
,,,,19876,,Midtown East,153.2,4,tag,0,40.7564098,district,-73.9534525,,none,,0.0,yes,1016487154,,way,,110.0,1226.26,-2608.46
,,,,19877,,Midtown East,153.1,4,tag,0,40.7572668,district,-73.9554167,,none,,0.0,yes,1016487155,,way,,110.0,1060.7,-2513.7
,,,,19880,East End Gateway,Garment / Midtown South,252.1,13,tag,0,40.7504737,block,-73.9916218,,none,,0.0,yes,1020674648,,way,,12.2,-1991.17,-3264.84
,,,,19884,,Hudson Yards,473.9,9,tag,0,40.7513281,block,-73.996883,,none,,0.0,roof,1021258202,,way,,5.0,-2434.66,-3170.37
,,,,19885,,Midtown West / Times Sq,30.7,5,tag,0,40.7563334,block,-74.0022609,,none,,0.0,roof,1021536501,,way,,3.5,-2887.99,-2616.91
,,,,19886,,Midtown West / Times Sq,60.8,6,tag,0,40.758915,block,-73.9982514,,none,,0.0,service,1021536577,1,way,,3.5,-2550.02,-2331.45
,,,,19887,,Midtown West / Times Sq,23.0,9,tag,0,40.7585443,block,-73.9985077,,none,,0.0,service,1021536584,,way,,3.5,-2571.62,-2372.44
,,,,19891,,Midtown West / Times Sq,29.0,4,tag,0,40.7561126,block,-74.0033978,,none,,0.0,service,1021760822,,way,,3.0,-2983.82,-2641.33
,,,,19899,,Chelsea,27.0,7,zone_model,0,40.7422328,block,-74.010735,,none,,0.0,yes,1023764876,,way,,7.08,-3602.31,-4176.07
,,,,19930,,West Village,681.2,4,tag,0,40.7295327,block,-74.0115229,,none,,0.0,garage,1115996380,,way,,19.0,-3668.72,-5580.38
,,,,19947,,Murray Hill / Kips Bay,32.6,5,zone_model,0,40.7508776,block,-73.9679249,,none,,0.0,roof,1184369206,,way,,11.64,6.33,-3220.18
